libId,TOTAL_READS,PF_READS,PF_HQ_ALIGNED_READS,MEAN_READ_LENGTH,STRAND_BALANCE,RIBOSOMAL_BASES,CODING_BASES,UTR_BASES,INTRONIC_BASES,INTERGENIC_BASES,PCT_RIBOSOMAL_BASES,PCT_CODING_BASES,PCT_UTR_BASES,PCT_INTRONIC_BASES,PCT_INTERGENIC_BASES,PCT_MRNA_BASES,MEDIAN_CV_COVERAGE,fastq_total_reads,reads_aligned_sam,aligned,reads_with_mult_align,algn_seg_with_mult_algn,no_feature,ambiguous,alignment_not_unique,PERCENT_DUPLICATION,mapped_reads_w_dups
lib1554_D1G9TACXX,10773402,10773402,9676635,48.712376,0.500824,3728762,245762533,213765072,46066396,15464650,0.007105,0.468309,0.407337,0.087781,0.029468,0.875646,0.440403,11466166,10773405,94.00%,1096768,10.20%,929094,540755,3745769,0.410527,0.939582
lib1562_D1G9TACXX,11231786,11231786,9776263,48.709656,0.500282,2329770,264309816,230149246,31968262,18326590,0.004259,0.483125,0.420684,0.058434,0.033499,0.903809,0.469241,12106128,11231789,92.80%,1455524,13.00%,574731,593081,5483251,0.458351,0.927777
lib1565_D1G9TACXX,10451008,10451008,9222655,48.701613,0.500907,3048456,246412162,208091199,35049749,16368542,0.005989,0.484139,0.408848,0.068864,0.03216,0.892987,0.445748,11195837,10451011,93.30%,1228354,11.80%,671604,524246,4500275,0.439719,0.933473
lib1568_D1G9TACXX,10462716,10462716,9169773,48.694978,0.500523,2831543,249318388,205691494,33954689,17675345,0.005558,0.489367,0.403735,0.066647,0.034694,0.893102,0.452493,11210725,10462719,93.30%,1292944,12.40%,626260,533132,4935643,0.431801,0.933277
lib1569_D1G9TACXX,10318181,10318181,9112406,48.722909,0.500829,5288432,235403654,207026322,37435522,17566602,0.01052,0.46826,0.411812,0.074466,0.034943,0.880072,0.449441,10983921,10318184,93.90%,1205776,11.70%,714493,493934,4479380,0.426091,0.93939
lib1570_D1G9TACXX,10887457,10887457,9309329,48.683797,0.501056,5859321,226429222,256887576,24824224,16028803,0.011055,0.427202,0.484667,0.046836,0.030241,0.911869,0.570622,11825253,10887460,92.10%,1578129,14.50%,427046,608960,5450039,0.560823,0.920695
lib1573_D1G9TACXX,10297845,10297845,8259585,48.682383,0.500758,3365183,206800363,230731515,28840317,31573905,0.006713,0.412519,0.460256,0.05753,0.062983,0.872775,0.600618,12032808,10297848,85.60%,2038261,19.80%,357670,565227,9202524,0.670435,0.855814
lib1574_D1G9TACXX,11967507,11967507,10317571,48.727735,0.500447,3203008,286871397,249850697,24106175,19104907,0.005493,0.491946,0.42846,0.041339,0.032762,0.920406,0.472176,12785060,11967510,93.60%,1649937,13.80%,392531,623883,6261692,0.482998,0.936054
lib1577_D1G9TACXX,8486299,8486299,7338314,48.722446,0.501013,2226769,204322671,175750914,17719617,13445310,0.005386,0.494171,0.425068,0.042856,0.032519,0.91924,0.469546,9144878,8486302,92.80%,1147986,13.50%,289284,456693,4398437,0.44583,0.927984
lib1582_D1G9TACXX,11001150,11001150,9423811,48.686318,0.50063,2375666,264545550,227745606,23285414,17640811,0.004436,0.49393,0.425222,0.043476,0.032937,0.919152,0.48624,11713141,11001153,93.90%,1577340,14.30%,385862,581481,5916009,0.463426,0.939214
lib3218_C3JK4ACXX,17723838,17723838,2478048,48.870433,0.501787,4500140,62568835,66791445,214692598,517610874,0.005195,0.072237,0.077112,0.247866,0.59759,0.149349,0.543766,18212096,17723841,97.30%,15245791,86.00%,228298,147292,116390948,0.879297,0.97319
lib3220_C3JK4ACXX,16854566,16854566,12625156,49.222283,0.501029,8541119,328476343,328668429,68452415,95459357,0.010296,0.395947,0.396178,0.082513,0.115067,0.792125,0.498616,17727710,16854569,95.10%,4229411,25.10%,700659,843475,23842711,0.566495,0.950747
lib3223_C3JK4ACXX,15745318,15745318,11645560,49.226258,0.500821,7154568,309302228,301251293,62667131,94686757,0.009231,0.399068,0.388681,0.080854,0.122167,0.787749,0.488797,16543193,15745321,95.20%,4099759,26.00%,564287,770309,23693169,0.558129,0.95177
lib3240_C3JK4ACXX,15993308,15993308,11378921,49.252273,0.501229,5038069,294205175,329650810,58393623,100395619,0.006396,0.373507,0.418507,0.074133,0.127457,0.792014,0.568131,16840092,15993311,95.00%,4614388,28.90%,392488,816080,26216398,0.607451,0.949716
lib3242_C3JK4ACXX,14892904,14892904,11345110,49.230329,0.500841,4303380,301400785,311661480,46764570,69031483,0.00587,0.411097,0.425093,0.063785,0.094156,0.83619,0.513831,15756538,14892907,94.50%,3547795,23.80%,423839,776455,18541482,0.552609,0.945189
lib3243_C3JK4ACXX,15646167,15646167,12394223,49.24341,0.5008,2624215,339901675,322136374,43306332,62481159,0.003406,0.441173,0.418115,0.056209,0.081097,0.859288,0.481634,16428883,15646170,95.20%,3251945,20.80%,423734,827868,16622228,0.524029,0.952357
lib3247_C3JK4ACXX,14848091,14848091,11526865,49.24826,0.50093,3625835,324287738,289832609,46960254,66517747,0.004959,0.443486,0.396366,0.064221,0.090968,0.839853,0.468631,15596537,14848094,95.20%,3321227,22.40%,467639,744976,17576168,0.514173,0.952012
lib3254_C3JK4ACXX,14275341,14275341,11200921,49.297649,0.500667,5279188,303805479,293493777,43184815,57959551,0.007502,0.431712,0.417059,0.061366,0.082361,0.848771,0.494856,15014055,14275344,95.10%,3074421,21.50%,443461,759390,15577909,0.529536,0.950799
lib3256_C3JK4ACXX,13980957,13980957,10857997,49.289501,0.501019,6344389,293158431,279547314,49237626,60808637,0.009207,0.425425,0.405673,0.071453,0.088244,0.831097,0.489802,14734897,13980960,94.90%,3122961,22.30%,560909,739189,16136389,0.518678,0.948833
lib3265_C3JK4ACXX,14180614,14180614,10780077,49.283827,0.50049,5323508,298508220,279119933,48797170,67106043,0.007617,0.427139,0.399396,0.069825,0.096023,0.826536,0.494971,14917677,14180617,95.10%,3400538,24.00%,480541,694851,17876531,0.532092,0.950591
lib3266_C3JK4ACXX,15568323,15568323,12027436,49.281623,0.500634,10215896,317443343,302702086,61941338,74908944,0.013316,0.413763,0.394549,0.080736,0.097638,0.808312,0.475295,16369377,15568326,95.10%,3540888,22.70%,724002,764838,18873645,0.530652,0.951064
lib3274_C3JK4ACXX,14840739,14840739,10775199,49.263196,0.500653,7398309,281055992,276144263,65666800,100818448,0.01012,0.384438,0.377719,0.089821,0.137903,0.762157,0.491853,15549569,14840742,95.40%,4065541,27.40%,582953,698356,24360412,0.559917,0.954415
lib3277_C3JK4ACXX,15568220,15568220,11477742,49.253844,0.500512,5453622,308851150,290081440,65039724,97349432,0.007112,0.402792,0.378314,0.084822,0.12696,0.781106,0.478172,16323705,15568223,95.40%,4090479,26.30%,599526,739144,23897628,0.546126,0.953719
lib3279_C3JK4ACXX,13421739,13421739,9787176,49.279008,0.501085,6247241,252440144,270599388,51257531,80846959,0.009446,0.381681,0.409137,0.0775,0.122238,0.790818,0.5315,14174919,13421742,94.70%,3634564,27.10%,421663,670002,20598013,0.562671,0.946865
lib3280_C3JK4ACXX,13547125,13547125,9978151,49.278339,0.500834,8530297,264285476,246502274,61769366,86476926,0.012778,0.395896,0.369257,0.09253,0.129541,0.765152,0.465387,14264035,13547128,95.00%,3568975,26.30%,625562,629100,20969547,0.528498,0.94974
lib3282_C3JK4ACXX,14728261,14728261,11303522,49.290334,0.501047,4356834,306794842,291556792,52324105,70909202,0.006002,0.422617,0.401626,0.072078,0.097679,0.824242,0.481754,15498846,14728264,95.00%,3424740,23.30%,546619,751646,18357061,0.531322,0.950281
lib3286_C3JK4ACXX,12563993,12563993,9302684,49.290243,0.500774,5488002,231973725,276269474,40664091,64868124,0.008862,0.374596,0.446126,0.065665,0.104751,0.820723,0.600274,13311481,12563996,94.40%,3261310,26.00%,318880,669114,17361823,0.575782,0.943846
lib3292_C3JK4ACXX,13279679,13279679,9369737,49.251057,0.500655,6825375,236466913,263639299,55579194,91510099,0.010436,0.361559,0.403106,0.084981,0.139919,0.764665,0.563192,13999978,13279682,94.90%,3909943,29.40%,435403,649913,22849095,0.582979,0.94855
lib3294_C3JK4ACXX,13563915,13563915,10444208,49.278604,0.500609,7479649,277456323,269422533,49088952,64946098,0.01119,0.41511,0.40309,0.073443,0.097168,0.8182,0.483703,14277654,13563918,95.00%,3119708,23.00%,524710,674752,16690457,0.52166,0.95001
lib3300_C3JK4ACXX,13329984,13329984,9679314,49.250457,0.500448,8133028,244971539,240040552,67230713,96114878,0.012389,0.373153,0.365642,0.102409,0.146407,0.738796,0.474856,14023727,13329987,95.10%,3650671,27.40%,669095,603837,22462041,0.53912,0.950531
lib3303_C3JK4ACXX,13323844,13323844,9884885,49.27429,0.50065,5304736,245173749,269113673,58431374,78481073,0.00808,0.373453,0.409919,0.089004,0.119544,0.783373,0.525824,14065515,13323847,94.70%,3438960,25.80%,618847,671188,19461601,0.542855,0.94727
lib3306_C3JK4ACXX,13451865,13451865,9854412,49.268139,0.500954,3738181,276428125,248828868,51102808,82634567,0.005641,0.417104,0.375459,0.077109,0.124688,0.792563,0.488741,14131305,13451868,95.20%,3597454,26.70%,418786,676155,20717343,0.542316,0.95192
lib3308_C3JK4ACXX,12507995,12507995,9303387,49.270537,0.500958,3571903,237575136,260610105,44115133,70385580,0.005796,0.385513,0.422892,0.071586,0.114215,0.808404,0.542201,13198874,12507998,94.80%,3204609,25.60%,366158,633285,17926694,0.550251,0.947656
lib3310_C3JK4ACXX,13312135,13312135,9470311,49.248796,0.500684,4841162,251448516,235681439,64902869,98717053,0.007384,0.383545,0.359495,0.098999,0.150577,0.74304,0.466679,13991408,13312138,95.10%,3841825,28.90%,592513,587945,23585629,0.530126,0.951451
lib3321_C4K47ACXX,13551039,13551039,10912783,49.234313,0.500504,4240302,296263174,274055766,43818424,48783241,0.006356,0.444066,0.410779,0.065679,0.073121,0.854845,0.473855,14312814,13551042,94.70%,2638257,19.50%,553629,715921,13040860,0.497652,0.946777
lib3322_C4K47ACXX,14071833,14071833,11008137,49.23509,0.500778,3985175,299494398,285744992,44699570,58886540,0.005752,0.432289,0.412443,0.064519,0.084997,0.844732,0.490204,14777064,14071836,95.20%,3063697,21.80%,481280,743732,15733215,0.523231,0.952275
lib3323_C4K47ACXX,12401151,12401151,9949548,49.223238,0.500735,4143654,279088232,242705207,40105681,44367947,0.006788,0.457214,0.39761,0.065703,0.072685,0.854824,0.472181,13037321,12401154,95.10%,2451604,19.80%,505180,651407,12047468,0.487752,0.951204
lib3324_C4K47ACXX,14100419,14100419,11372767,49.247619,0.500847,8692369,304432582,293938072,38749467,48582937,0.012518,0.438414,0.423301,0.055803,0.069964,0.861715,0.506722,14768891,14100422,95.50%,2727653,19.30%,431940,730118,13227389,0.552122,0.954738
lib3325_C4K47ACXX,14305063,14305063,11646124,49.255044,0.500616,3762053,304719851,307178364,44174408,44745469,0.005339,0.432484,0.435974,0.062696,0.063507,0.868458,0.512985,15004481,14305066,95.30%,2658940,18.60%,581537,792376,12389213,0.519559,0.953386
lib3326_C4K47ACXX,14191554,14191554,11163697,49.235644,0.501149,3380483,315988828,285053116,41175256,53117674,0.004838,0.452243,0.407968,0.05893,0.076022,0.86021,0.504229,14941822,14191557,95.00%,3027858,21.30%,443752,756765,14957068,0.5186,0.949787
lib3330_C4K47ACXX,14308380,14308380,11316366,49.231565,0.500695,3362003,321168483,287047389,39973984,52854746,0.004773,0.455942,0.407503,0.056748,0.075034,0.863445,0.486272,15007197,14308383,95.30%,2992015,20.90%,422512,754392,14783294,0.514527,0.953435
lib3338_C4K47ACXX,14673923,14673923,11128733,49.246229,0.502031,3691628,334227866,279718086,42757642,62221781,0.005109,0.462524,0.38709,0.059171,0.086106,0.849615,0.524571,15524305,14673926,94.50%,3545191,24.20%,381805,984435,17660045,0.578078,0.945223
lib3339_C4K47ACXX,14455550,14455550,11680054,49.25512,0.500732,5621408,325107596,293856177,37575223,49831469,0.007895,0.456617,0.412724,0.052775,0.069989,0.869342,0.473172,15100748,14455553,95.70%,2775497,19.20%,394149,759134,13633971,0.524373,0.957274
lib3341_C4K47ACXX,14576754,14576754,11644357,49.263837,0.500517,5357832,301650448,311793889,50031740,49254720,0.007461,0.420074,0.4342,0.069674,0.068591,0.854274,0.539168,15310751,14576757,95.20%,2932398,20.10%,662007,810998,13662596,0.532777,0.95206
lib3348_C4K47ACXX,13381009,13381009,7845306,49.180679,0.501428,5040182,169071007,271470790,70981572,141504117,0.007659,0.25692,0.412527,0.107864,0.21503,0.669448,0.856252,14006617,13381012,95.50%,5535704,41.40%,299561,626961,34631084,0.736433,0.955335
